Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"August 31, 2025",Fee,"Transaction fee: Shipping","Order #3784084180",USD,--,-$1.60,-$1.60,--
"August 31, 2025",Fee,"Transaction fee: Toji Fushiguro JJK Anime Shirt - Oversiz...","Order #3784084180",USD,--,-$2.27,-$2.27,--
"August 31, 2025",Tax,"Sales tax paid by buyer","Order #3784084180",USD,--,-$3.58,-$3.58,--
"August 31, 2025",Sale,"Payment for Order #3784084180",,USD,$63.21,--,$63.21,--
"August 31, 2025",Fee,"Processing fee","Order #3784084180",USD,--,-$2.15,-$2.15,--
"August 31, 2025",Fee,"Listing fee","Listing #4359901253",USD,--,-$0.20,-$0.20,--
"August 31, 2025",Fee,"Transaction fee: Shipping","Order #3783711664",USD,--,-$0.36,-$0.36,--
"August 31, 2025",Fee,"Transaction fee: JJK Choso Anime Tee - Vintage Acid Washe...","Order #3783711664",USD,--,-$2.27,-$2.27,--
"August 31, 2025",Tax,"Sales tax paid by buyer","Order #3783711664",USD,--,-$1.85,-$1.85,--
"August 31, 2025",Fee,"Processing fee","Order #3783711664",USD,--,-$1.52,-$1.52,--
"August 31, 2025",Sale,"Payment for Order #3783711664","$21.15 placed in reserve until Oct 15, 2025",USD,$42.30,--,$42.30,--,"Reserve Applied","October 15, 2025"
"August 31, 2025",Fee,"Listing fee","Listing #4339557746",USD,--,-$0.20,-$0.20,--
"August 30, 2025",Fee,"Listing fee","Listing #4361214336",USD,--,-$0.20,-$0.20,--
"August 30, 2025",Fee,"Transaction fee: Shipping","Order #3783148712",USD,--,-$0.38,-$0.38,--
"August 30, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3783148712",USD,--,-$2.08,-$2.08,--
"August 30, 2025",Sale,"Payment for Order #3783148712",,USD,$37.82,--,$37.82,--
"August 30, 2025",Fee,"Processing fee","Order #3783148712",USD,--,-$1.38,-$1.38,--
"August 30, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 29, 2025",Marketing,"Fee for sale made through Offsite Ads","Order #3784109349",USD,--,-$3.29,-$3.29,--
"August 29, 2025",Fee,"Transaction fee: Shipping","Order #3784109349",USD,--,-$0.37,-$0.37,--
"August 29, 2025",Fee,"Transaction fee: Maki Zenin T-Shirt","Order #3784109349",USD,--,-$1.05,-$1.05,--
"August 29, 2025",Sale,"Payment for Order #3784109349","$10.95 placed in reserve until Oct 13, 2025",USD,$21.90,--,$21.90,--,"Reserve Applied","October 13, 2025"
"August 29, 2025",Fee,"Processing fee","Order #3784109349",USD,--,-$0.91,-$0.91,--
"August 29, 2025",Fee,"Listing fee","Listing #4337157532",USD,--,-$0.20,-$0.20,--
"August 28, 2025",Fee,"Listing fee","Listing #4359901253",USD,--,-$0.20,-$0.20,--
"August 28, 2025",Fee,"Transaction fee: Shipping","Order #3780332122",USD,--,-$0.37,-$0.37,--
"August 28, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3780332122",USD,--,-$2.08,-$2.08,--
"August 28, 2025",Tax,"Sales tax paid by buyer","Order #3780332122",USD,--,-$1.92,-$1.92,--
"August 28, 2025",Fee,"Processing fee","Order #3780332122",USD,--,-$1.44,-$1.44,--
"August 28, 2025",Sale,"Payment for Order #3780332122",,USD,$39.61,--,$39.61,--
"August 28, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 28, 2025",Fee,"Transaction fee: Shipping","Order #3780156662",USD,--,-$0.41,-$0.41,--
"August 28, 2025",Fee,"Transaction fee: Demon Slayer Uzui - Vintage Acid Washed ...","Order #3780156662",USD,--,-$1.96,-$1.96,--
"August 28, 2025",Tax,"Sales tax paid by buyer","Order #3780156662",USD,--,-$3.16,-$3.16,--
"August 28, 2025",Fee,"Processing fee","Order #3780156662",USD,--,-$1.44,-$1.44,--
"August 28, 2025",Sale,"Payment for Order #3780156662",,USD,$39.54,--,$39.54,--
"August 28, 2025",Fee,"Listing fee","Listing #4340696647",USD,--,-$0.20,-$0.20,--
"August 27, 2025",Fee,"Listing fee","Listing #4359306637",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3778705172",USD,--,-$2.08,-$2.08,--
"August 26, 2025",Tax,"Sales tax paid by buyer","Order #3778705172",USD,--,-$7.36,-$7.36,--
"August 26, 2025",Fee,"Processing fee","Order #3778705172",USD,--,-$1.43,-$1.43,--
"August 26, 2025",Sale,"Payment for Order #3778705172","$19.68 placed in reserve until Oct 10, 2025",USD,$39.35,--,$39.35,--,"Reserve Applied","October 10, 2025"
"August 26, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Fee,"Transaction fee: Shipping","Order #3781323589",USD,--,-$0.70,-$0.70,--
"August 26, 2025",Fee,"Transaction fee: Demon Slayer Kokushibo T-Shirt - Vintage...","Order #3781323589",USD,--,-$2.11,-$2.11,--
"August 26, 2025",Fee,"Transaction fee: Demon Slayer Uzui - Vintage Acid Washed ...","Order #3781323589",USD,--,-$1.96,-$1.96,--
"August 26, 2025",Tax,"Sales tax paid by buyer","Order #3781323589",USD,--,-$3.76,-$3.76,--
"August 26, 2025",Fee,"Processing fee","Order #3781323589",USD,--,-$2.57,-$2.57,--
"August 26, 2025",Sale,"Payment for Order #3781323589","$38.61 placed in reserve until Oct 10, 2025",USD,$77.21,--,$77.21,--,"Reserve Applied","October 10, 2025"
"August 26, 2025",Fee,"Listing fee","Listing #4338997211",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Fee,"Listing fee","Listing #4340696647",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 25, 2025",USD,--,-$2.33,-$2.33,--
"August 25, 2025",Fee,"Transaction fee: Shipping","Order #3777929764",USD,--,-$0.91,-$0.91,--
"August 25, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3777929764",USD,--,-$2.08,-$2.08,--
"August 25, 2025",Fee,"Transaction fee: Maki Zenin T-Shirt","Order #3777929764",USD,--,-$1.05,-$1.05,--
"August 25, 2025",Fee,"Processing fee","Order #3777929764",USD,--,-$2.12,-$2.12,--
"August 25, 2025",Sale,"Payment for Order #3777929764","$31.10 placed in reserve until Oct 9, 2025",USD,$62.20,--,$62.20,--,"Reserve Applied","October 9, 2025"
"August 25, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4337157532",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Transaction fee: Shipping","Order #3780822107",USD,--,-$0.39,-$0.39,--
"August 25, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3780822107",USD,--,-$2.08,-$2.08,--
"August 25, 2025",Tax,"Sales tax paid by buyer","Order #3780822107",USD,--,-$2.16,-$2.16,--
"August 25, 2025",Fee,"Processing fee","Order #3780822107",USD,--,-$1.46,-$1.46,--
"August 25, 2025",Sale,"Payment for Order #3780822107",,USD,$40.17,--,$40.17,--
"August 25, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4358137663",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Deposit,"$78.94 sent to your bank account",,USD,--,--,--,--
"August 25, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 24, 2025",USD,--,-$3.00,-$3.00,--
"August 25, 2025",Fee,"Transaction fee: JJK Choso Shirt - Vintage Acid Washed Ov...","Order #3780123975",USD,--,-$2.07,-$2.07,--
"August 25, 2025",Fee,"Transaction fee: Shipping","Order #3780123975",USD,--,-$0.35,-$0.35,--
"August 25, 2025",Fee,"Processing fee","Order #3780123975",USD,--,-$1.37,-$1.37,--
"August 25, 2025",Sale,"Payment for Order #3780123975","$18.63 placed in reserve until Oct 8, 2025",USD,$37.25,--,$37.25,--,"Reserve Applied","October 8, 2025"
"August 25, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4337684508",USD,--,-$0.20,-$0.20,--
"August 24, 2025",Fee,"Transaction fee: Shipping","Order #3779460139",USD,--,-$0.35,-$0.35,--
"August 24, 2025",Fee,"Transaction fee: JJK Choso Anime Tee - Vintage Acid Washe...","Order #3779460139",USD,--,-$2.08,-$2.08,--
"August 24, 2025",Fee,"Processing fee","Order #3779460139",USD,--,-$1.37,-$1.37,--
"August 24, 2025",Sale,"Payment for Order #3779460139","$18.68 placed in reserve until Oct 8, 2025",USD,$37.36,--,$37.36,--,"Reserve Applied","October 8, 2025"
"August 24, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 24, 2025",Fee,"Listing fee","Listing #4339557746",USD,--,-$0.20,-$0.20,--
"August 24, 2025",Fee,"Transaction fee: Shipping","Order #3776183230",USD,--,-$0.39,-$0.39,--
"August 24, 2025",Fee,"Transaction fee: Sanemi Demon Slayer Acid Washed Shirt - ...","Order #3776183230",USD,--,-$1.93,-$1.93,--
"August 24, 2025",Tax,"Sales tax paid by buyer","Order #3776183230",USD,--,-$2.31,-$2.31,--
"August 24, 2025",Fee,"Processing fee","Order #3776183230",USD,--,-$1.39,-$1.39,--
"August 24, 2025",Sale,"Payment for Order #3776183230","$19.04 placed in reserve until Oct 8, 2025",USD,$38.08,--,$38.08,--,"Reserve Applied","October 8, 2025"
"August 24, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 24, 2025",Fee,"Listing fee","Listing #4337130215",USD,--,-$0.20,-$0.20,--
"August 24, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 23, 2025",USD,--,-$3.00,-$3.00,--
"August 24, 2025",Marketing,"Fee for sale made through Offsite Ads","Order #3776057492",USD,--,-$6.63,-$6.63,--
"August 24, 2025",Fee,"Transaction fee: Shipping","Order #3776057492",USD,--,-$0.35,-$0.35,--
"August 24, 2025",Fee,"Transaction fee: JJK Choso Anime Tee - Vintage Acid Washe...","Order #3776057492",USD,--,-$2.52,-$2.52,--
"August 24, 2025",Tax,"Sales tax paid by buyer","Order #3776057492",USD,--,-$2.65,-$2.65,--
"August 24, 2025",Fee,"Processing fee","Order #3776057492",USD,--,-$1.66,-$1.66,--
"August 24, 2025",Sale,"Payment for Order #3776057492",,USD,$46.88,--,$46.88,--
"August 24, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 24, 2025",Fee,"Listing fee","Listing #4339557746",USD,--,-$0.20,-$0.20,--
"August 23, 2025",Fee,"Transaction fee: Shipping","Order #3779023459",USD,--,-$0.38,-$0.38,--
"August 23, 2025",Fee,"Transaction fee: Demon Slayer Kokushibo T-Shirt - Vintage...","Order #3779023459",USD,--,-$2.64,-$2.64,--
"August 23, 2025",Tax,"Sales tax paid by buyer","Order #3779023459",USD,--,-$3.90,-$3.90,--
"August 23, 2025",Fee,"Processing fee","Order #3779023459",USD,--,-$1.76,-$1.76,--
"August 23, 2025",Sale,"Payment for Order #3779023459",,USD,$50.35,--,$50.35,--
"August 23, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 23, 2025",Fee,"Listing fee","Listing #4338997211",USD,--,-$0.20,-$0.20,--
"August 23, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 22, 2025",USD,--,-$3.00,-$3.00,--
"August 22, 2025",Marketing,"Fee for sale made through Offsite Ads","Order #3777536671",USD,--,-$6.33,-$6.33,--
"August 22, 2025",Fee,"Transaction fee: Shipping","Order #3777536671",USD,--,-$0.39,-$0.39,--
"August 22, 2025",Fee,"Transaction fee: JJK Choso Shirt - Vintage Acid Washed Ov...","Order #3777536671",USD,--,-$2.35,-$2.35,--
"August 22, 2025",Fee,"Processing fee","Order #3777536671",USD,--,-$1.52,-$1.52,--
"August 22, 2025",Sale,"Payment for Order #3777536671","$21.12 placed in reserve until Oct 6, 2025",USD,$42.23,--,$42.23,--,"Reserve Applied","October 6, 2025"
"August 22, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 22, 2025",Fee,"Listing fee","Listing #4337684508",USD,--,-$0.20,-$0.20,--
"August 22, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 21, 2025",USD,--,-$3.00,-$3.00,--
"August 21, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 20, 2025",USD,--,-$3.00,-$3.00,--
"August 20, 2025",Marketing,"Credit for Offsite Ads fee","Order #3761742274",USD,--,$4.98,$4.98,--
"August 20, 2025",Fee,"Credit for transaction fee on JJK Choso Shirt - Vintage Acid Washed Ov...","Order #3761742274",USD,--,$1.77,$1.77,--
"August 20, 2025",Fee,"Credit for transaction fee on shipping","Order #3761742274",USD,--,$0.39,$0.39,--
"August 20, 2025",Fee,"Credit for processing fee","Order #3761742274",USD,--,$1.32,$1.32,--
"August 20, 2025",Refund,"Refund for Order #3761742274",,USD,-$35.69,--,-$35.69,--
"August 20, 2025",Tax,"Refund to buyer for sales tax","Order #3761742274",USD,--,$2.51,$2.51,--
"August 20, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 19, 2025",USD,--,-$3.00,-$3.00,--
"August 19, 2025",Fee,"Transaction fee: Shipping","Order #3771869756",USD,--,-$0.83,-$0.83,--
"August 19, 2025",Fee,"Transaction fee: Demon Slayer Uzui - Vintage Acid Washed ...","Order #3771869756",USD,--,-$2.32,-$2.32,--
"August 19, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3771869756",USD,--,-$2.12,-$2.12,--
"August 19, 2025",Tax,"Sales tax paid by buyer","Order #3771869756",USD,--,-$6.31,-$6.31,--
"August 19, 2025",Fee,"Processing fee","Order #3771869756",USD,--,-$2.87,-$2.87,--
"August 19, 2025",Sale,"Payment for Order #3771869756","$43.66 placed in reserve until Oct 3, 2025",USD,$87.31,--,$87.31,--,"Reserve Applied","October 3, 2025"
"August 19, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 19, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 19, 2025",Fee,"Listing fee","Listing #4340696647",USD,--,-$0.20,-$0.20,--
"August 19, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 19, 2025",Fee,"Transaction fee: Shipping","Order #3775122003",USD,--,-$0.39,-$0.39,--
"August 19, 2025",Fee,"Transaction fee: JJK Choso Shirt - Vintage Acid Washed Ov...","Order #3775122003",USD,--,-$2.35,-$2.35,--
"August 19, 2025",Tax,"Sales tax paid by buyer","Order #3775122003",USD,--,-$2.63,-$2.63,--
"August 19, 2025",Fee,"Processing fee","Order #3775122003",USD,--,-$1.60,-$1.60,--
"August 19, 2025",Sale,"Payment for Order #3775122003","$22.43 placed in reserve until Oct 3, 2025",USD,$44.86,--,$44.86,--,"Reserve Applied","October 3, 2025"
"August 19, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 19, 2025",Fee,"Listing fee","Listing #4337684508",USD,--,-$0.20,-$0.20,--
"August 19, 2025",Fee,"Transaction fee: Shipping","Order #3774825763",USD,--,-$0.37,-$0.37,--
"August 19, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3774825763",USD,--,-$2.12,-$2.12,--
"August 19, 2025",Tax,"Sales tax paid by buyer","Order #3774825763",USD,--,-$1.95,-$1.95,--
"August 19, 2025",Fee,"Processing fee","Order #3774825763",USD,--,-$1.46,-$1.46,--
"August 19, 2025",Sale,"Payment for Order #3774825763","$20.11 placed in reserve until Oct 3, 2025",USD,$40.21,--,$40.21,--,"Reserve Applied","October 3, 2025"
"August 19, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 19, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 19, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 18, 2025",USD,--,-$3.00,-$3.00,--
"August 19, 2025",Fee,"Transaction fee: Shipping","Order #3774510939",USD,--,-$0.37,-$0.37,--
"August 19, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3774510939",USD,--,-$2.12,-$2.12,--
"August 19, 2025",Fee,"Processing fee","Order #3774510939",USD,--,-$1.40,-$1.40,--
"August 19, 2025",Sale,"Payment for Order #3774510939","$19.13 placed in reserve until Oct 2, 2025",USD,$38.26,--,$38.26,--,"Reserve Applied","October 2, 2025"
"August 19, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
